,name,age,games_played,avg_qbr,std_qbr,avg_cmp,std_cmp,avg_att,std_att,avg_pct,std_pct,avg_pyds,std_pyds,avg_ypa,std_ypa,avg_TD,std_TD,avg_INT,std_INT,avg_SACK,std_SACK,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,class
35,alex-smith,36,7,73.28571428571429,21.164419506833266,20.857142857142858,10.21803128128438,31.428571428571427,13.10242227176926,63.94285714285714,11.085235630314397,202.85714285714286,126.29831869871605,5.885714285714286,2.472955762661684,0.5714285714285714,0.4948716593053935,0.8571428571428571,0.9897433186107869,2.7142857142857144,1.4846149779161804,1.2857142857142858,1.2777531299998799,0.42857142857142855,1.9166296949998198,0.32857142857142857,0.8729494924258393,1.1428571428571428,1.9587584572574415,0.0,0.0,2
36,dwayne-haskins,23,6,76.88333333333333,11.250395054792028,22.333333333333332,10.126971687308874,35.5,13.238202294873727,61.283333333333324,6.351749540262289,214.16666666666666,86.22338558779876,5.883333333333334,0.9044642367476757,0.8333333333333334,0.6871842709362768,0.8333333333333334,1.2133516482134197,3.0,1.0,3.3333333333333335,1.8856180831641267,7.666666666666667,12.525529485370624,3.116666666666667,4.261618106880166,6.833333333333333,7.080881928749334,0.16666666666666666,0.372677996249965,1
37,jimmy-garoppolo,28,5,92.58000000000001,43.55021928762242,16.6,5.607138307550474,24.8,7.386474125047755,67.2,16.433745768996186,202.4,82.33492576057866,7.94,2.0943734146517423,1.4,1.2,0.8,0.9797958971132713,1.6,1.2,1.2,1.4696938456699067,4.2,3.815756805667783,3.0,3.3466401061363023,3.8,3.4871191548325386,0.0,0.0,3
38,mike-glennon,30,4,73.025,17.818161381017966,21.25,5.539629951540085,34.25,6.977642868476432,61.300000000000004,4.549725266430932,202.75,72.35459556932096,5.7,1.224744871391589,1.25,0.82915619758885,1.25,0.82915619758885,0.75,0.82915619758885,1.25,1.299038105676658,3.75,3.897114317029974,1.5,1.5,2.0,2.0,0.0,0.0,2
39,joe-flacco,35,4,90.25,28.533883366972674,14.75,7.46240577829965,26.0,15.411035007422441,68.55,20.20600158368795,164.75,90.76170723383292,7.15,2.3563743335896357,1.0,1.224744871391589,0.5,0.5,1.5,1.118033988749895,1.25,1.6393596310755,5.0,8.660254037844387,1.25,2.165063509461097,2.25,3.897114317029974,0.0,0.0,3
40,brandon-allen,27,4,93.15,22.279867593861503,21.0,7.3484692283495345,30.25,7.189401922274203,67.475,9.306281480806392,219.25,92.6724743383924,7.2,2.0211382931407735,1.25,0.4330127018922193,0.5,0.5,1.75,2.0463381929681126,3.0,1.0,6.25,3.6996621467371855,1.95,0.618465843842649,3.5,0.8660254037844386,0.0,0.0,2
41,cj-beathard,26,5,99.22,38.537275461558,8.2,5.192301994298868,13.4,8.014985963805552,50.84,26.828835233755495,102.8,60.27404084678577,7.0200000000000005,4.632666618698134,1.0,1.0954451150103321,0.0,0.0,1.2,1.1661903789690602,0.6,1.2,3.6,7.200000000000001,1.2,2.4,3.4,6.8,0.0,0.0,3
42,kyle-allen,24,3,97.3,11.267652816802617,18.333333333333332,9.285592184789413,26.666666666666668,11.897712198383164,67.66666666666667,5.737207993053376,182.66666666666666,84.48010942753855,6.733333333333333,0.8576453553512404,1.3333333333333333,0.9428090415820634,0.3333333333333333,0.4714045207910317,2.3333333333333335,0.4714045207910317,2.3333333333333335,1.247219128924647,8.666666666666666,1.699673171197595,4.6000000000000005,1.7663521732655694,8.666666666666666,3.0912061651652345,0.3333333333333333,0.4714045207910317,1
43,jake-luton,24,2,76.45,13.75,22.0,4.0,36.5,1.5,59.900000000000006,8.500000000000004,236.5,67.5,6.4,1.6,1.0,0.0,1.0,0.0,2.5,0.5,0.5,0.5,6.5,6.5,6.5,6.5,6.5,6.5,0.5,0.5,1
44,jeff-driskel,27,2,77.95,6.950000000000003,17.5,0.5,32.0,2.0,54.8,1.9000000000000021,216.0,40.0,6.7,0.7999999999999998,1.5,0.5,1.0,0.0,5.5,0.5,2.5,0.5,9.5,4.5,3.6,1.1,6.0,3.0,0.0,0.0,2
45,chad-henne,35,2,88.05,5.75,2.5,0.5,3.0,1.0,87.5,12.5,15.0,2.0,5.4,1.1,0.0,0.0,0.0,0.0,0.5,0.5,2.5,1.5,-1.0,1.0,-0.25,0.25,0.5,0.5,0.5,0.5,4
46,ryan-finley,25,4,26.775,26.840489470201543,2.5,2.29128784747792,4.75,3.960744879438715,41.425,31.146297934104464,18.75,16.723860200324566,2.8,2.023610634484806,0.0,0.0,0.5,0.5,1.75,1.479019945774904,0.25,0.4330127018922193,4.75,8.227241335952167,4.75,8.227241335952167,4.75,8.227241335952167,0.0,0.0,4
47,jacoby-brissett,27,10,18.029999999999998,22.882134952840392,0.2,0.6000000000000001,0.8,1.2489995996796797,5.0,15.0,1.7,5.1000000000000005,0.43,1.2899999999999998,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,1.5,1.118033988749895,1.6,2.8000000000000003,0.9800000000000001,1.4675149062275312,1.3,1.6155494421403513,0.3,0.6403124237432849,4
48,mason-rudolph,24,4,40.45,41.164578219629554,0.75,0.82915619758885,1.0,1.224744871391589,41.675,43.30608357956189,2.25,2.48746859276655,1.75,2.48746859276655,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,-1.75,1.7853571071357126,-0.575,0.584700778176325,-0.5,0.5,0.0,0.0,4
