name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,class
darrel-williams,26,3,17,2.764705882352941,2.1290542436298656,3.3529411764705883,2.0847111937258056,26.58823529411765,25.58275803447546,7.635294117647059,4.980779666876,13.529411764705882,10.96581665668804,0.11764705882352941,0.32218973970892123,8.470588235294118,5.56372333074157,32.8235294117647,24.57458106666472,3.670588235294118,1.4510704794503195,10.235294117647058,4.608552302541387,0.35294117647058826,0.6809315825170721,8.4,186.0,2
aj-dillon,23,1,17,2.0,1.7489492643904123,2.176470588235294,1.7230374724560953,18.41176470588235,18.852551156835705,7.929411764705883,7.413561873619133,11.176470588235293,11.858158244643949,0.11764705882352941,0.32218973970892123,11.0,5.246847793171238,47.23529411764706,23.423290098343184,4.205882352941177,0.9985110021693738,11.823529411764707,7.808255767550643,0.29411764705882354,0.6655122646461624,6.2,52.0,2
james-robinson,22,1,14,2.2142857142857144,1.6115020246683538,3.2857142857142856,2.015247997095126,15.857142857142858,14.009472014406859,5.835714285714286,5.295902343572156,8.714285714285714,7.823303754338896,0.0,0.0,11.714285714285714,5.4304508024994895,54.785714285714285,38.227100655030014,4.364285714285715,1.7027738474354732,16.857142857142858,12.648303911463175,0.5714285714285714,0.6226998490772392,7.6,136.0,2
elijah-mitchell-rb,23,0,12,1.5833333333333333,1.8465433171800283,1.6666666666666667,2.0138409955990957,11.416666666666666,14.250487321102003,3.5083333333333333,3.674338564815291,5.75,5.903741751352837,0.08333333333333333,0.2763853991962833,17.25,7.617140758403598,80.25,41.20502598793825,4.316666666666666,1.866741069945755,18.833333333333332,12.019659821401861,0.4166666666666667,0.4930066485916347,3.9,37.0,3
tony-pollard,24,2,15,2.6,1.4966629547095762,3.066666666666667,1.691810338726603,22.466666666666665,16.214670997450288,8.486666666666666,7.448656851331582,12.2,9.188398482144027,0.0,0.0,8.666666666666666,3.359894178227774,47.93333333333333,27.2261312386138,5.293333333333333,2.0124501374085164,17.066666666666666,13.045901868232628,0.13333333333333333,0.339934634239519,7.1,90.0,2
michael-carter-rb,22,0,14,2.5714285714285716,2.6108095546424384,3.9285714285714284,3.4322896504954183,23.214285714285715,27.762200847886092,8.321428571428571,9.526292831004138,10.357142857142858,8.049908099361337,0.0,0.0,10.5,3.8312623805439676,45.642857142857146,27.424199800429506,4.842857142857142,4.039397813273354,17.285714285714285,14.9686747740004,0.2857142857142857,0.45175395145262565,9.1,126.0,2
sony-michel,26,3,17,1.2352941176470589,1.1129934075543824,1.9411764705882353,1.6967300119830537,7.529411764705882,7.624400821656306,4.176470588235294,3.8589131983842755,5.823529411764706,6.195209668556041,0.058823529411764705,0.23529411764705885,12.235294117647058,8.249986893142571,49.705882352941174,37.93921563560563,3.8823529411764706,1.0749748528482215,13.764705882352942,8.36329101958079,0.23529411764705882,0.42418250299576343,5.4,157.0,3
saquon-barkley,24,3,14,2.9285714285714284,2.2188892238584383,4.071428571428571,2.7376811281052573,18.785714285714285,20.5884106492275,4.235714285714286,4.649517201181391,10.5,13.694367976862397,0.14285714285714285,0.34992710611188266,11.571428571428571,5.460432815318969,42.357142857142854,24.447048150345392,3.4285714285714284,1.2786312835151787,13.714285714285714,11.015758656375429,0.14285714285714285,0.34992710611188266,9.6,16.0,2
chase-edmonds,25,3,12,3.5833333333333335,2.396467307424734,4.416666666666667,2.43099202430247,25.916666666666668,20.92230999568536,6.058333333333334,3.9381591159096434,12.416666666666666,9.464480381346293,0.0,0.0,9.666666666666666,4.955356249106169,49.333333333333336,29.609495473956024,5.45,2.9483045975611133,17.833333333333332,14.311029157805372,0.16666666666666666,0.372677996249965,9.0,67.0,2
rashaad-penny,25,3,10,0.6,0.8,0.8,0.9797958971132713,4.8,8.657944328765344,3.8,8.050465825031495,4.2,8.268010643437755,0.0,0.0,11.9,7.725930364687478,74.9,70.13907612736284,5.459999999999999,2.956078483396542,23.1,19.289634522198703,0.6,0.7999999999999999,1.6,82.0,3
mike-davis-rb,28,6,17,2.588235294117647,1.9420675316728446,3.411764705882353,2.0596636941190116,15.235294117647058,12.744223197727463,5.276470588235294,3.9528886551132683,8.941176470588236,6.300985807421624,0.058823529411764705,0.23529411764705885,8.117647058823529,3.5790625282767663,29.58823529411765,15.533867453479953,3.735294117647059,1.7344065526759862,9.529411764705882,4.67933689443561,0.17647058823529413,0.3812200410828153,10.1,197.0,4
