name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,class
isaiah-crowell,25,0,13,1.6153846153846154,1.002954216185023,2.1538461538461537,1.3499945211372495,11.692307692307692,8.156022931501088,7.676923076923076,5.686577157070289,10.0,6.324555320336759,0.0,0.0,11.0,5.0076863996183985,52.69230769230769,56.16512004847111,4.315384615384615,3.7516860115145674,21.076923076923077,21.787298835159543,0.46153846153846156,0.7457969011409737,6.0,1
kerryon-johnson,21,-1,10,3.2,1.7204650534085253,3.9,2.118962010041709,21.3,18.692511869730083,5.99,3.118156506655816,10.5,5.937171043518958,0.1,0.30000000000000004,11.8,4.093897898091744,64.1,40.203109332488204,5.0600000000000005,1.6782133356638544,21.9,18.310925700247928,0.3,0.45825756949558405,9.5,1
sony-michel,23,0,13,0.5384615384615384,0.6343239424027171,0.8461538461538461,0.9483713850721502,3.8461538461538463,5.289265673129565,3.3846153846153846,4.796448390190736,3.5384615384615383,4.908632656475022,0.0,0.0,16.076923076923077,5.663126867478757,71.61538461538461,35.25192512263793,4.384615384615385,1.1574814528144577,16.923076923076923,8.26914132330873,0.46153846153846156,0.6343239424027171,2.5,1
mike-davis-rb,25,3,15,2.2666666666666666,2.3795424396766327,2.8,2.508651696296904,14.266666666666667,17.93866091868497,4.34,3.473480483127358,6.666666666666667,5.895384258515771,0.06666666666666667,0.24944382578492946,7.466666666666667,5.289822513300632,34.266666666666666,26.77428285168853,4.16,1.9272778730634563,11.4,8.404760555780278,0.26666666666666666,0.573488351136175,9.4,3
duke-johnson,24,3,16,2.9375,2.2211694554896075,3.875,2.2043990110685496,26.8125,23.241177761679808,8.60625,5.452117564533986,12.5,8.477912478906585,0.1875,0.5266343608235224,2.5,1.3693063937629153,12.5625,12.404478777844718,4.481249999999999,5.036394884984695,8.0625,6.5998934650492656,0.0,0.0,11.1,3
latavius-murray,28,4,16,1.375,1.6153559979150107,1.625,2.057759704144291,8.8125,11.555403227494919,3.70625,4.439238215899209,4.625,5.301827515112124,0.0,0.0,8.75,6.036348233824818,36.125,37.56639954800034,3.54375,2.1062314539242832,12.3125,10.269607770017315,0.375,0.5994789404140899,4.9,1
lesean-mccoy,30,7,14,2.4285714285714284,1.6781914463529615,3.2857142857142856,2.0849313599037753,17.0,20.110409529111323,5.3500000000000005,4.131196644349639,8.642857142857142,7.087283812345509,0.0,0.0,11.5,7.138927490476823,36.714285714285715,32.6024288565582,2.7142857142857144,1.4918144000114866,11.785714285714286,8.13439409832956,0.21428571428571427,0.5578749768504754,10.4,2
leonard-fournette,23,1,8,2.75,1.0897247358851685,3.25,1.299038105676658,23.125,17.66661753137821,8.25,6.167049537663858,14.25,8.613216588476108,0.125,0.33071891388307384,16.625,6.283659363778403,54.875,24.00748581172131,3.425,1.0755812382149477,13.5,5.937171043518958,0.625,0.6959705453537527,3.5,1
wendell-smallwood,24,1,16,1.75,1.4361406616345072,2.1875,1.8103435447450298,14.375,15.822748655021984,5.2125,6.055769459779658,9.6875,11.681816800052978,0.125,0.33071891388307384,5.4375,5.183733572435991,22.75,21.291136653546705,3.0625,3.055093083688286,6.5,5.5901699437494745,0.1875,0.5266343608235224,6.1,3
theo-riddick,27,3,14,4.357142857142857,2.286830084797446,5.285714285714286,2.7884601851347335,27.428571428571427,16.482520116406807,6.121428571428571,3.223613449759352,11.785714285714286,5.783950348391059,0.0,0.0,2.857142857142857,2.747912008810192,12.214285714285714,14.905313393113838,2.7785714285714285,2.8322576989866914,5.142857142857143,5.36998460834643,0.0,0.0,14.1,3
jamaal-williams,23,1,16,1.6875,1.8275239396516807,2.5625,2.3175620272173947,13.125,16.66161381739476,4.4375,4.400408361731897,7.625,8.053531833922307,0.0,0.0,7.5625,4.729809060628135,28.9375,24.39126060190412,3.825,1.6935539554439947,9.1875,4.8504993299659365,0.1875,0.3903123748998999,4.5,3
alex-collins,23,0,10,1.5,1.118033988749895,2.1,1.6401219466856727,10.5,15.376930773076921,5.0600000000000005,5.027365115047842,6.8,6.508456038109192,0.1,0.30000000000000004,11.4,3.903844259188627,41.1,16.37345412550449,3.56,0.8534635317340747,11.9,3.5623026261113755,0.7,0.6403124237432849,4.8,1
frank-gore,35,11,14,0.8571428571428571,0.6388765649999398,1.1428571428571428,0.989743318610787,8.857142857142858,7.744649239102744,7.857142857142857,7.4340639035758205,8.142857142857142,7.434063903575821,0.07142857142857142,0.25753937681885636,11.142857142857142,3.7005239562824626,51.57142857142857,28.35417400795638,4.435714285714286,1.8687685566616714,16.428571428571427,11.25493089218033,0.0,0.0,4.2,2
royce-freeman,22,0,14,1.0,2.104417123236605,1.4285714285714286,2.583305902860732,5.142857142857143,11.36949014346945,1.692857142857143,2.5652803482867372,2.0714285714285716,3.2174587513014883,0.0,0.0,9.285714285714286,3.862430238455936,37.214285714285715,19.004430203164176,4.035714285714286,1.7103078849214517,12.071428571428571,6.363560163869253,0.35714285714285715,0.47915742374995485,1.8,4
damien-williams,26,4,16,1.4375,2.207055447876197,1.5,2.29128784747792,10.0,19.16050625635972,2.69375,3.7377247006032968,4.6875,8.052319153510993,0.125,0.33071891388307384,3.125,4.512136411945011,16.0,28.674901917879335,1.7374999999999998,2.753151603163182,5.3125,8.65100247081227,0.25,0.5590169943749475,0.8,3
carlos-hyde,27,3,14,0.7142857142857143,0.7953949089757174,1.1428571428571428,1.0594569267279519,2.357142857142857,4.202161737166493,1.4642857142857142,2.7022760625752773,2.0,3.3166247903554,0.0,0.0,12.285714285714286,6.901641330960664,40.785714285714285,27.648762750485837,2.992857142857143,1.5345843018849883,10.714285714285714,5.957331274855155,0.35714285714285715,0.6102859818083951,3.0,4
