name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation
emmanuel-sanders,32,8,17,3.882352941176471,2.564058202082749,5.705882352941177,2.965779450813066,51.11764705882353,44.05328638731157,11.705882352941178,6.053629984245747,22.705882352941178,19.359644825018485,0.2941176470588235,0.4556450995538137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,136.0,5.1,2.5,10.8,34.1,3.9,4.0,-0.1
darius-slayton,22,0,14,3.4285714285714284,2.381904571504724,6.0,3.5050983275386565,52.85714285714285,41.58443586394372,14.285714285714288,8.320444454376661,24.285714285714285,15.475457858117393,0.5714285714285714,0.82065180664829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,133.0,4.8,2.2,14.5,25.01,4.0,3.2,0.8
curtis-samuel,22,2,16,3.375,1.165922381636102,6.5625,2.423033996872516,39.1875,22.694213882617746,11.30625,4.556378599008208,18.4375,10.19784750572394,0.375,0.4841229182759271,1.1875,1.3792547806696194,8.125,11.650509645504783,3.5625,4.274323776926591,4.5625,5.522326842011436,0.0625,0.2420614591379635,16.7,194.0,5.8,2.6,14.5,30.58,2.9,3.0,0.0
larry-fitzgerald,35,13,16,4.6875,1.8614090764794289,6.8125,2.5054627816034305,50.25,27.9564393297859,10.4875,3.7205300361642015,21.0625,11.99202208762142,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,150.0,6.2,3.0,7.5,21.62,5.1,4.5,0.6
mike-williams-wr,24,2,15,3.2666666666666666,1.2364824660660938,6.0,2.804757862395017,66.73333333333333,23.735954911390348,21.993333333333336,8.36552183402539,34.6,13.821722034536796,0.1333333333333333,0.339934634239519,0.0666666666666666,0.2494438257849294,0.1333333333333333,0.4988876515698589,0.1333333333333333,0.4988876515698589,0.1333333333333333,0.4988876515698589,0.0,0.0,15.1,177.0,5.2,2.0,17.4,31.76,4.8,3.4,1.3
christian-kirk,22,1,13,5.230769230769231,2.6356679536941257,8.307692307692308,2.5835162498071798,54.53846153846154,38.90346115631395,9.315384615384614,5.697212024496807,19.07692307692308,16.922727269115107,0.2307692307692307,0.7994080650317895,0.7692307692307693,0.5756395979652217,7.153846153846154,8.12258156997803,6.807692307692308,8.132410139347142,7.076923076923077,8.109458280888278,0.0,0.0,19.3,164.0,6.0,3.5,9.5,27.13,4.4,4.5,-0.1
diontae-johnson,23,0,16,3.6875,1.9911915402592488,5.75,1.9525624189766635,42.5,26.196373794859472,11.3625,4.191341521517901,21.5,12.509996003196804,0.3125,0.4635124054434789,0.25,0.4330127018922193,2.5625,5.476868973236442,2.5625,5.476868973236442,2.5625,5.476868973236442,0.0,0.0,18.0,108.0,6.1,3.6,9.0,21.87,5.1,4.6,0.4
marquise-brown,22,0,14,3.2857142857142856,1.749635530559413,5.071428571428571,2.9632097875273637,41.71428571428572,39.00627892940273,11.85,9.520635482991668,23.571428571428573,21.32307363837951,0.5,0.7319250547113999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,79.0,6.4,3.0,10.9,21.07,5.4,4.8,0.6
breshad-perriman,25,3,14,2.571428571428572,2.1946130708196026,4.928571428571429,2.8899897605919875,46.07142857142857,45.045158746868815,14.192857142857145,12.092468983729043,18.928571428571427,14.796062631246029,0.4285714285714285,0.82065180664829,0.1428571428571428,0.3499271061118826,1.1428571428571428,3.3775972621533965,1.1428571428571428,3.3775972621533965,1.1428571428571428,3.3775972621533965,0.0,0.0,11.1,200.0,5.9,2.6,16.1,17.38,4.2,4.7,-0.5
sterling-shepard,26,3,10,5.7,1.6155494421403511,8.3,1.6155494421403511,57.6,29.98399573105626,9.81,3.3806656149344323,18.4,8.380930735902785,0.3,0.4582575694955839,0.6,0.66332495807108,7.2,10.017983829094554,6.15,9.016789894413645,7.0,9.757048734120374,0.0,0.0,13.7,135.0,5.7,3.1,9.9,16.91,3.3,3.2,0.1
sammy-watkins,26,5,14,3.7142857142857135,2.5475077857324298,6.428571428571429,3.619674131234265,48.07142857142857,46.44884172892995,10.757142857142856,5.933165173799886,20.857142857142858,16.66414946977554,0.2142857142857142,0.7726181304565691,0.1428571428571428,0.5150787536377127,0.8571428571428571,3.0904725218262765,0.4285714285714285,1.5452362609131385,0.7857142857142857,2.83293314500742,0.0,0.0,15.6,159.0,5.3,2.9,9.6,18.51,5.9,5.3,0.5
ty-hilton,29,7,10,4.5,2.01246117974981,6.8,2.638181191654584,50.1,22.611722623453524,12.34,6.873601675977449,20.1,8.93812060782355,0.5,0.6708203932499369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,64.0,6.1,3.0,10.2,17.61,4.8,3.9,0.9
adam-thielen,28,5,10,3.0,2.280350850198276,4.8,2.4819347291981715,41.8,38.164905345094205,11.27,8.034058750096367,19.6,14.065560778013792,0.6,0.66332495807108,0.4,0.4898979485566356,0.6,1.0198039027185568,0.6,1.0198039027185568,0.6,1.0198039027185568,0.1,0.3,10.3,29.0,6.4,3.0,12.7,17.42,4.2,3.7,0.5
brandin-cooks,25,5,14,3.0,2.104417123236605,5.142857142857143,2.97266457809783,41.642857142857146,29.01626918732008,13.02857142857143,7.7937180354646225,20.714285714285715,13.41336525063486,0.1428571428571428,0.3499271061118826,0.4285714285714285,0.6226998490772391,3.7142857142857135,7.563337995399457,3.2142857142857144,7.082963175602338,3.357142857142857,7.177416396061258,0.0,0.0,11.4,118.0,6.2,3.1,13.8,20.97,4.1,3.6,0.4
juju-smith-schuster,22,2,12,3.5,1.7559422921421233,5.833333333333333,1.8633899812498247,46.0,34.11988667429402,12.050000000000002,6.677636807534035,25.416666666666668,19.045814646676455,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,34.0,4.9,2.4,9.6,17.74,6.0,4.3,1.7
allen-lazard,23,1,16,2.1875,1.775484088917724,3.25,2.7950849718747373,29.8125,29.789299148351912,9.15625,8.778451511371467,14.4375,13.009461701008233,0.1875,0.3903123748998999,0.0625,0.2420614591379635,1.3125,5.083290641897235,1.3125,5.083290641897235,1.3125,5.083290641897235,0.0,0.0,9.1,187.0,6.4,2.9,13.8,14.81,4.1,4.3,-0.2
preston-williams,22,0,8,4.0,1.118033988749895,7.5,2.0615528128088303,53.5,19.42935922772545,13.3,2.8574464124459094,21.75,7.189401922274203,0.375,0.6959705453537527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,179.0,4.5,2.1,14.3,16.17,2.4,2.5,-0.1
