name,age,years_played,games_played,avg_qbr,std_qbr,avg_cmp,std_cmp,avg_att,std_att,avg_pct,std_pct,avg_pyds,std_pyds,avg_ypa,std_ypa,avg_TD,std_TD,avg_INT,std_INT,avg_SACK,std_SACK,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,ADP
andy-dalton,31,8,12,76.9,22.347520369532425,24.83333333333333,5.520165053893065,41.66666666666666,7.214953607304455,59.29999999999999,5.594193418179244,275.3333333333333,75.8730665138969,6.516666666666667,0.9581521567869872,1.25,1.0897247358851685,1.0833333333333333,1.2555432644432805,3.0,2.160246899469287,2.0,1.4719601443879744,5.25,9.175374651751284,2.075,2.368939636208572,3.75,4.380353866983808,0.25,0.4330127018922193,316.0
mitch-trubisky,24,2,14,83.95000000000002,23.881814659455248,21.428571428571427,8.059726029678018,34.214285714285715,12.945923635473452,63.22857142857142,9.182781135786428,209.3571428571429,85.4121161887278,6.014285714285713,1.637444499760501,1.2142857142857142,1.2637004294967238,0.7142857142857143,0.6998542122237652,2.4285714285714284,1.5452362609131385,3.2857142857142856,2.762725657973388,13.714285714285714,15.835893097772592,3.635714285714285,2.591912460728879,6.928571428571429,5.83663657688332,0.1428571428571428,0.3499271061118826,235.0
sam-darnold,22,1,12,87.21666666666665,30.468558475181524,20.83333333333333,4.844813951249544,33.75,5.931905258852336,61.758333333333326,9.808028882275764,235.41666666666663,65.41210175155325,7.191666666666666,2.350694341867715,1.5,1.0408329997330663,1.0,1.224744871391589,2.583333333333333,1.9346977943739831,2.5,1.2583057392117916,5.333333333333333,8.024268744807149,2.275,3.7579083277802297,5.0,6.794605703546503,0.1666666666666666,0.3726779962499649,241.0
kyle-allen,23,1,13,76.80769230769232,35.4958819179929,21.384615384615383,7.560407615572686,34.46153846153846,11.87508953563256,57.41538461538461,17.656197262580296,232.84615384615384,81.08385607490762,6.315384615384614,2.1778062899822817,1.3076923076923077,1.2015768732164085,1.1538461538461535,1.3499945211372495,3.4615384615384617,2.023530221225524,2.3076923076923075,1.8967427701443005,7.769230769230769,9.672751944380398,2.9153846153846152,3.1075209396772445,5.153846153846154,5.081582943050384,0.1538461538461538,0.3608012122941099,401.0
matthew-stafford,31,10,7,104.34285714285714,16.32954002876445,23.0,4.20883424647321,35.714285714285715,5.969309261650337,64.64285714285714,7.829588046608316,299.0,62.34695547613257,8.4,1.1904380946285518,2.2857142857142856,1.27775312999988,0.5714285714285714,0.7284313590846835,2.2857142857142856,1.577908716741037,2.4285714285714284,1.178030178747903,8.571428571428571,8.893932809299075,3.057142857142857,3.6074752322116375,6.142857142857143,4.997958767010258,0.0,0.0,117.0
mason-rudolph,24,0,9,81.0,26.116959155988194,18.0,5.981452814975453,29.22222222222222,9.101621073898842,61.766666666666666,11.159450404627162,181.77777777777777,56.90689819106639,6.255555555555556,0.9238940669327732,1.3333333333333333,0.6666666666666666,1.0,1.1547005383792517,1.5555555555555556,1.257078722109418,2.111111111111111,1.4487116456005886,4.666666666666667,6.27162924074226,2.1666666666666665,3.0291179500896885,3.888888888888889,4.532461789860253,0.0,0.0,363.0
teddy-bridgewater,26,4,9,65.6222222222222,49.15417418191636,14.666666666666666,10.666666666666666,21.666666666666668,15.634719199411432,45.27777777777778,32.599651592472846,152.22222222222223,116.62644809416828,4.644444444444444,3.414384965313376,1.0,1.3333333333333333,0.2222222222222222,0.415739709641549,1.2222222222222223,1.6850834320114556,2.7777777777777777,1.314684396244359,3.7777777777777777,4.893936787898943,1.1555555555555554,1.657381543352922,3.4444444444444446,3.685138655950445,0.0,0.0,191.0
joe-flacco,34,11,7,86.3,12.620052071434346,21.571428571428573,6.020373573058707,32.857142857142854,8.692008997243576,65.81428571428572,4.305952216385585,235.42857142857144,47.96086840288845,7.342857142857142,1.1745602737768266,0.8571428571428571,0.989743318610787,0.7142857142857143,0.4517539514526256,3.2857142857142856,2.602981022612657,1.5714285714285714,1.3997084244475304,1.5714285714285714,2.920721185751553,0.6571428571428571,1.2280729885907118,1.4285714285714286,2.1946130708196026,0.0,0.0,325.0
dwayne-haskins,22,-1,8,69.025,26.91606165470721,13.375,4.998437255783052,23.5,8.54400374531753,57.425,7.541841618596882,154.0,63.549193543270086,6.550000000000001,1.0977249200050077,0.625,0.8569568250501305,0.875,0.927024810886958,3.375,1.5761900266148114,2.5,1.3228756555322954,12.625,11.02199505534275,4.5,4.464582847254601,9.0,8.093207028119323,0.0,0.0,236.0
drew-lock,22,-1,4,92.725,30.59962213818988,20.75,2.947456530637899,32.0,5.1478150704935,66.65,13.950716827460877,210.75,63.05305305851573,6.8,2.6795522013948525,1.5,1.118033988749895,0.75,0.4330127018922193,0.75,0.82915619758885,3.0,0.7071067811865476,10.75,4.9180788932265,3.5,1.541103500742244,8.0,3.082207001484488,0.0,0.0,180.0
david-blough,23,0,4,70.225,13.2261814217105,20.5,4.9749371855331,36.25,7.292976072907411,55.925,3.7291922717929142,215.5,63.1525929792277,5.85,0.9861541461658012,1.0,0.7071067811865476,1.25,0.82915619758885,3.25,1.299038105676658,1.5,2.0615528128088303,5.0,8.093207028119323,1.2,1.5556349186104044,2.5,3.774917217635375,0.0,0.0,383.0
devlin-hodges,23,-3,7,85.01428571428572,29.86629388129839,13.0,5.5805785670356025,19.285714285714285,8.729494924258393,67.77142857142857,11.845398658878269,138.28571428571428,50.73661480265167,7.6,2.056349053193895,0.7142857142857143,0.4517539514526256,1.1428571428571428,1.355261854357877,1.8571428571428568,1.456862718169367,2.857142857142857,1.5518257844571737,9.857142857142858,11.716027745035811,3.457142857142857,3.5074847083903067,9.714285714285714,7.886956423909863,0.0,0.0,440.0
nick-foles,30,7,3,102.06666666666666,22.19088902129781,23.33333333333333,12.970050972229146,34.333333333333336,18.62495339293199,66.46666666666665,3.1478387647541446,214.33333333333331,99.00953938327804,7.133333333333333,1.6213848676020417,1.0,0.816496580927726,0.3333333333333333,0.4714045207910317,1.6666666666666667,1.247219128924647,1.0,1.4142135623730951,6.666666666666667,9.428090415820632,2.2333333333333334,3.1584102892999124,4.333333333333333,6.128258770283413,0.0,0.0,324.0
brian-hoyer,33,10,4,36.175,43.2600494105127,8.75,8.757139944068497,16.25,16.887495373796554,27.9,28.71393389976372,93.0,93.8669270829721,2.925,2.960890913221897,1.0,1.224744871391589,1.0,1.224744871391589,1.25,1.6393596310755,1.25,0.82915619758885,1.0,3.0,1.25,2.7726341266023544,1.5,2.692582403567252,0.0,0.0,500.0
aj-mccarron,28,2,2,19.8,19.8,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0
