name,age,years_played,games_played,avg_rec,avg_tgt,avg_yds,avg_ypr,avg_lg,avg_TD,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation
devante-parker,29,7,13,2.3846153846153846,3.615384615384616,41.46153846153846,11.815384615384614,18.846153846153847,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,8.7,243.0,4.2,1.7,15.7,18.64,4.1,2.8,1.3
greg-dortch,24,2,16,3.25,4.0,29.1875,5.075,12.375,0.125,0.4375,2.75,1.2375,2.0625,0.0,9.6,249.5,7.3,4.2,4.4,6.53,6.1,4.9,1.1
michael-gallup,26,4,14,2.7857142857142856,5.285714285714286,30.285714285714285,9.94285714285714,15.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,13.3,169.3,6.1,2.4,11.7,19.14,3.0,3.0,0.0
josh-reynolds,27,5,12,3.1666666666666665,4.916666666666667,39.91666666666666,12.633333333333336,18.666666666666668,0.25,0.0,0.0,0.0,0.0,0.0,10.0,255.5,6.9,2.8,12.7,18.55,3.1,3.0,0.1
dj-chark,25,4,11,2.727272727272727,4.727272727272728,45.63636363636363,13.572727272727274,23.181818181818183,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,8.8,178.3,5.5,2.2,15.4,19.86,4.7,3.9,0.8
chase-claypool,24,2,15,3.066666666666667,5.266666666666667,30.066666666666663,8.766666666666667,14.133333333333333,0.0666666666666666,0.6,3.933333333333333,1.933333333333333,2.533333333333333,0.0,21.0,215.3,5.6,2.8,10.4,25.34,3.1,3.3,-0.1
isaiah-hodgins,23,1,9,4.111111111111111,5.333333333333333,43.55555555555556,11.11111111111111,20.33333333333333,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,9.2,202.7,6.7,2.8,9.1,13.91,2.9,2.8,0.1
corey-davis,27,5,13,2.4615384615384617,4.923076923076923,41.23076923076923,15.96923076923077,21.923076923076923,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,10.2,251.0,6.7,2.3,13.9,18.02,3.9,2.8,1.1
darnell-mooney,24,2,11,3.636363636363636,5.545454545454546,44.81818181818182,12.19090909090909,23.0,0.1818181818181818,0.0909090909090909,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0,16.2,137.0,6.5,3.6,11.7,22.0,4.5,4.5,0.1
romeo-doubs,22,0,13,3.230769230769231,5.153846153846154,32.69230769230769,9.192307692307692,16.153846153846153,0.2307692307692307,0.0769230769230769,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,11.9,142.3,6.4,3.3,9.2,14.31,4.8,4.7,0.1
nico-collins,23,1,10,3.7,6.6,48.1,14.1,22.8,0.2,0.0,0.0,0.0,0.0,0.0,11.4,143.3,5.9,2.9,11.9,18.81,4.2,3.8,0.3
treylon-burks,22,0,11,3.0,4.909090909090909,40.36363636363637,12.52727272727273,22.27272727272728,0.0909090909090909,0.3636363636363636,4.2727272727272725,4.2727272727272725,4.2727272727272725,0.0,11.8,76.7,7.1,3.1,11.3,17.65,5.4,4.3,1.1
kendrick-bourne,26,5,16,2.1875,3.0,27.125,11.56875,15.3125,0.0625,0.375,2.4375,2.4375,2.4375,0.0,8.9,239.0,7.0,3.4,10.0,12.14,4.2,3.6,0.6
nick-westbrook,25,2,16,1.5625,3.125,24.8125,9.675,15.25,0.1875,0.0,0.0,0.0,0.0,0.0,11.0,255.0,5.5,2.3,13.4,19.49,4.9,4.4,0.5
elijah-moore,22,1,16,2.3125,4.0625,27.875,9.925,15.0625,0.0625,0.3125,0.3125,0.3125,0.3125,0.0,10.4,107.0,6.1,3.1,12.0,15.79,2.8,3.1,-0.3
terrace-marshall,22,1,13,2.1538461538461537,3.615384615384616,37.69230769230769,16.946153846153848,23.53846153846154,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,10.3,243.3,5.1,2.6,12.5,18.28,5.7,4.5,1.2
trent-sherfield,26,4,16,1.875,3.1875,26.0625,13.76875,17.9375,0.125,0.0,0.0,0.0,0.0,0.0,8.7,246.0,5.9,2.9,10.5,10.37,5.1,3.1,2.1
allen-robinson,28,8,10,3.3,5.2,33.9,9.85,15.8,0.3,0.0,0.0,0.0,0.0,0.0,9.8,221.3,4.8,2.1,9.5,13.65,2.6,3.0,-0.4
quez-watkins,24,2,17,1.9411764705882355,3.0,20.823529411764707,8.24705882352941,14.470588235294118,0.1764705882352941,0.1764705882352941,0.0588235294117647,-0.0588235294117647,0.0588235294117647,0.0,9.3,286.5,7.0,3.5,9.4,11.15,4.7,6.1,-1.4
rondale-moore,22,1,8,5.125,7.0,51.75,10.5875,21.75,0.125,0.75,-0.625,-0.9375,-0.375,0.0,8.4,138.0,7.5,3.8,5.3,6.78,7.1,5.4,1.8
randall-cobb,31,11,13,2.6153846153846154,3.8461538461538463,32.07692307692308,10.523076923076925,16.23076923076923,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,8.9,307.0,6.0,2.9,9.7,11.21,5.5,4.1,1.4
hunter-renfrow,26,3,10,3.6,5.0,33.0,9.45,14.1,0.2,0.0,0.0,0.0,0.0,0.0,8.5,194.7,6.2,3.1,6.5,6.23,4.2,4.2,-0.1
nelson-agholor,29,7,15,2.066666666666667,3.533333333333333,24.133333333333333,6.873333333333334,12.666666666666666,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,9.8,265.0,6.1,3.3,11.7,15.74,5.1,4.1,0.9
tyquan-thornton,21,0,12,1.8333333333333333,3.75,20.58333333333333,11.608333333333334,14.166666666666666,0.1666666666666666,0.25,1.3333333333333333,0.4416666666666666,1.5833333333333333,0.0833333333333333,8.3,208.3,5.9,3.1,14.0,15.94,3.3,4.4,-1.1
