NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM TGT %,Catches,Catch %,TD
"Jeff Wilson Jr.","RB","MIA",2,2,2,3,"",2,1,1,2,3,5,"",3,2,"","",2,7,2,37,2.3,6.3,22,59.5,1
"Kenny Golladay","WR","NYG","",2,"",3,1,"","","","","",2,2,"","","","","","",7,17,1.4,3.3,6,35.3,1
"Kalif Raymond","WR","DET",1,2,"",1,5,7,"",6,4,3,3,7,6,2,2,6,1,3,6,64,3.8,10.9,47,73.4,
"Leonard Fournette","RB","TB","",2,4,6,7,11,6,3,3,7,1,"","",7,7,4,10,4,1,83,5.2,11.1,73,88,3
"Mo Alie-Cox","TE","IND",1,2,3,3,6,1,"","",1,2,"",1,3,1,"",1,2,1,1,28,1.6,4.6,19,67.9,3
"Marquise Goodwin","WR","SEA",3,2,1,4,"","",2,5,5,"",2,"",3,2,6,5,4,"","",41,3.2,7.3,27,64.3,4
"Melvin Gordon III","RB","DEN","",2,1,6,1,3,"",4,4,"",6,5,"","","","","","","",32,3.2,5.6,25,78.1,
"Miles Sanders","RB","PHI",1,2,3,1,3,3,1,"","","",1,1,3,2,3,1,1,"",1,26,1.5,4.9,20,76.9,
"Mike Strachan","WR","IND",7,2,3,"",1,"",2,"","","","","","","","","","",1,"",9,0.7,1.5,3,33.3,
"Noah Gray","TE","KC",2,2,3,2,1,2,3,1,"",3,2,3,2,1,3,3,1,1,1,34,2,5.2,28,82.4,1
"Najee Harris","RB","PIT",1,2,6,3,"",4,3,4,6,"",1,6,1,1,3,"",9,3,1,53,3.1,9.3,41,77.4,3
"Nick Westbrook-Ikhine","WR","TEN",1,2,4,3,"",3,"",2,"",1,8,2,6,2,8,2,3,3,1,50,2.9,11,25,50,3
"O.J. Howard","TE","HOU",3,2,1,1,5,1,"","",3,2,1,3,2,"","","","",2,"",23,1.8,4,10,43.5,2
"Parker Hesse","TE","ATL",3,2,1,"",1,1,"","",1,"","","",2,1,"","",1,"",1,11,0.6,2.7,9,81.8,
"Ross Dwelley","TE","SF",4,2,1,"",1,"","","",1,"","","","","","","","","","",5,0.4,1,3,60,1
"Russell Gage","WR","TB",1,2,6,13,4,6,4,5,"","","","","",1,2,12,6,3,6,70,5.4,9.3,51,72.9,5
