NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM TGT %,Catches,Catch %,TD
"Jordan Akins","TE","HOU",1,2,7,3,3,"","","","",4,1,6,2,3,6,6,4,2,49,3.8,9,37,75.5,1
"Jordan Reed","TE","SF","",2,8,6,"","","","","",2,6,"",6,4,5,5,2,"",46,4.6,8.1,26,56.5,4
"Josh Adams","RB","NYJ",5,2,"","","","","","","","","","","","",2,"","",4,8,1,1.6,6,75,0
"Josiah Deguara","TE","GB",2,2,"","","","","","","","","","","","","","","","",2,1,0.4,1,50,0
"Justin Watson","WR","TB",3,2,3,"",6,"","","","","","","","","","","","","",11,1,0,7,63.6,0
"Kaden Smith","TE","NYG",4,2,3,2,1,1,3,"",2,1,2,"","",1,1,1,"",1,21,1.4,4.1,18,85.7,0
"Kalif Raymond","WR","TEN",2,2,"",3,"",2,4,"",1,"","","",1,"",1,"",1,"",15,1,0.2,9,60,0
"Kenny Stills","WR","HOU",1,2,3,4,4,1,"",4,"","",1,"","","","","","","",19,1.9,3.5,11,57.9,1
"Kenyan Drake","RB","ARI",2,2,2,1,"",1,2,2,"","",1,5,4,3,1,2,2,3,31,2.1,5.4,25,80.6,0
"Kyle Rudolph","TE","MIN",2,2,1,3,2,2,4,"",1,4,5,3,8,2,"","","","",37,3.1,7.2,28,75.7,1
"Le'Veon Bell","RB","KC",3,2,"","","","","","",3,1,"",1,2,3,3,1,3,"",2.5,1.2,0.5,2.5,100,0
"Marvin Hall","WR","DET",6,2,2,"",1,"",2,1,7,5,3,3,4,"","","",2,"",32,2.7,5.5,18,56.2,2
"Maxx Williams","TE","ARI",1,2,"","","","","","","",1,"",2,2,"",2,1,"","",10,1.1,1.7,8,80,1
"Michael Pittman Jr.","WR","IND",1,2,6,4,"","","","",1,7,8,3,9,"",5,3,5,"",61,4.7,1.8,40,65.6,1
"Mo Alie-Cox","TE","IND",1,2,6,3,2,1,"","",4,3,4,2,2,5,1,2,1,"",39,2.6,0.7,31,79.5,2
"Nick Vannett","TE","DEN",4,2,2,"",2,"",1,3,"",1,"",2,1,2,4,1,"","",21,1.4,3.8,14,66.7,1
"Patrick Laird","RB","MIA",5,2,"","","","",1,"","",1,"",2,"",3,1,2,"","",12,0.8,2.1,10,83.3,0
"Riley Ridley","WR","CHI",16,2,"","","","","","","",2,"","",2,"","","","","",4,0.8,0.3,4,100,0
